Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
9/25/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,36,36,25,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,48,45,36,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,43,42,31,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,27,27,19,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,37,36,17,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,54,52,31,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7467340330328,AVIVA,AVIVA EXPORT SODA 24.3 oz,$5.79,$4.25,26.60%,72,65,48,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,10,10,6,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,16,15,9,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,17,15,11,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,26,25,22,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,18,18,10,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,22,18,11,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7468339190343,AVIVA,AVIVA EXPORT SODA 9.54 oz,$2.29,$1.54,32.68%,34,27,19,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,2,2,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,2,2,2,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,2,2,,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,1,1,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,4,2,,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7468339190367,AVIVA,AVIVA EXPORT SODA INTEGRAL 11.07 oz,$2.69,$1.79,33.39%,3,2,2,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,2,2,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,1,1,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,4,4,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,2,2,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,1,1,1,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7468339190312,AVIVA,AVIVA EXPORT SODA LITE 24.3 oz,$5.79,$4.25,26.60%,4,3,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,5,4,4,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,4,4,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,4,4,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,5,4,2,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,1,1,,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,1,1,1,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7468339190305,AVIVA,AVIVA EXPORT SODA LITE 9 PK 9.54 oz,$2.29,$1.54,32.68%,3,3,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,1,1,1,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/26/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,4,4,4,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/27/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,5,5,2,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
