Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,TransbyCustomers,Department,SubDpto,Category
9/17/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,1207,666,426,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/16/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,1011,737,477,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/14/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,850,604,378,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/13/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,675,490,293,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/12/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,631,465,296,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/11/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,582,417,270,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/15/2024,70893801044,ECONO,ECONO AMERICAN EGGS 12 ud,$3.29,$2.33,29.04%,546,413,242,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/16/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,147,105,50,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/14/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,127,99,57,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/14/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,126,107,59,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/15/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,119,89,53,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/13/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,109,87,45,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/15/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,100,82,49,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/13/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,98,78,44,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/11/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,85,66,35,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/12/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,81,65,42,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/17/2024,70893801816,ECONO,ECONO HUEVOS LARGE PR 12 ud,$4.69,$3.03,35.49%,79,63,37,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/11/2024,74825224009,EGG MARKET,EGG MARKET HUEVOS MEDIANOS US 18 ud,$5.99,$4.10,31.55%,64,56,37,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/16/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,60,45,27,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/12/2024,74825224009,EGG MARKET,EGG MARKET HUEVOS MEDIANOS US 18 ud,$5.99,$4.10,31.55%,58,45,25,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/17/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,43,32,16,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/16/2024,70893801817,ECONO,ECONO HUEVOS GRANDES DEL PAIS 18 ud,$6.89,$4.41,36.05%,43,37,16,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/15/2024,7743855919,HILLANDALE FARMS,HILLANDALE FARMS ORGANIC EGGS MED US 12 ud,$3.59,$2.57,28.53%,34,27,14,DAIRY,HUEVOS,HUEVOS ORGANICOS
9/16/2024,7743855919,HILLANDALE FARMS,HILLANDALE FARMS ORGANIC EGGS MED US 12 ud,$3.59,$2.57,28.53%,32,29,19,DAIRY,HUEVOS,HUEVOS ORGANICOS
9/12/2024,9020830110,NOAHS PRIDE,NOAHS PRIDE GRADE A LARGE BROWN CAGE FREE CLEAR PLASTIC 12 ud,$6.49,$4.40,32.20%,31,26,13,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/11/2024,70893801817,ECONO,ECONO HUEVOS GRANDES DEL PAIS 18 ud,$6.89,$4.41,36.05%,31,29,17,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/14/2024,7743855919,HILLANDALE FARMS,HILLANDALE FARMS ORGANIC EGGS MED US 12 ud,$3.59,$2.57,28.53%,29,21,11,DAIRY,HUEVOS,HUEVOS ORGANICOS
9/14/2024,70893801817,ECONO,ECONO HUEVOS GRANDES DEL PAIS 18 ud,$6.89,$4.41,36.05%,26,24,7,DAIRY,HUEVOS,HUEVOS DEL PAIS
9/12/2024,70893801045,ECONO,ECONO HUEVOS MEDIANOS US 18 ud,$4.99,$3.50,29.82%,25,22,11,DAIRY,HUEVOS,HUEVOS AMERICANOS
9/13/2024,7743855919,HILLANDALE FARMS,HILLANDALE FARMS ORGANIC EGGS MED US 12 ud,$3.59,$2.57,28.53%,23,16,12,DAIRY,HUEVOS,HUEVOS ORGANICOS
